user_id,session_start_dttm,moscow_flag,_rand moscow,desktop_flag,_rand desktop,satisfaction_metric
95739,2024-01-01 0:19:48,0,"0,8360699124",1,"0,975410437","2,967035433"
49362,2024-01-01 0:32:59,0,"0,8353102348",0,"0,4272129896","1,816525824"
16377,2024-01-01 0:40:00,0,"0,7647701804",1,"0,5443741006","1,111459728"
64361,2024-01-01 0:55:24,0,"0,8716488698",0,"0,4347744103","1,835768394"
65977,2024-01-01 1:01:21,0,"0,525351411",1,"0,7214896301","1,587272452"
87899,2024-01-01 1:13:48,1,"0,3946411568",1,"0,888106683","2,21652069"
9025,2024-01-01 1:20:42,1,"0,3669999274",0,"0,4857886714","1,964369945"
81925,2024-01-01 1:32:42,1,"0,3358578919",0,"0,09197584487","0,6713143161"
97871,2024-01-01 1:57:24,1,"0,2532280284",0,"0,175501805","1,067355618"
87064,2024-01-01 2:07:11,0,"0,6111687748",1,"0,928666944","2,465934575"
15407,2024-01-01 3:08:14,0,"0,5733595825",1,"0,7042351878","1,536620727"
86913,2024-01-01 3:17:11,0,"0,899686672",1,"0,9980891948","3,892523127"
24818,2024-01-01 3:26:29,1,"0,3710936654",0,"0,01742105241","-0,1101887053"
97657,2024-01-01 4:22:33,0,"0,6546425981",0,"0,05627777309","0,4131893958"
70820,2024-01-01 4:24:06,0,"0,6367841713",0,"0,4943043105","1,985722539"
61718,2024-01-01 4:25:34,0,"0,6358577349",1,"0,7766481062","1,760921781"
21384,2024-01-01 4:43:55,1,"0,1244292154",1,"0,7045433427","1,537512991"
16802,2024-01-01 5:34:57,1,"0,01283604558",1,"0,526560516","1,066626601"
82175,2024-01-01 5:38:09,0,"0,8419752147",1,"0,6853577316","1,482734116"
88540,2024-01-01 6:19:11,0,"0,5698207786",1,"0,8703570029","2,128080333"
57158,2024-01-01 6:36:53,0,"0,7433502913",0,"0,4855582642","1,963792027"
53875,2024-01-01 6:38:05,0,"0,7386952804",0,"0,2823592451","1,424152834"
47552,2024-01-01 6:43:09,0,"0,5947225905",1,"0,9753770463","2,966456457"
89467,2024-01-01 6:57:51,0,"0,6597492578",1,"0,685813284","1,484017525"
88308,2024-01-01 7:09:39,0,"0,5710243719",0,"0,0225359242","-0,003983309343"
37051,2024-01-01 7:12:46,0,"0,6195816621",1,"0,9860004343","3,197298545"
15906,2024-01-01 7:52:47,0,"0,8901142718",1,"0,8403332011","1,995828259"
75970,2024-01-01 8:01:14,0,"0,513403854",1,"0,5004030801","1,001010372"
20577,2024-01-01 8:28:34,0,"0,9425123249",0,"0,2056979645","1,178560425"
25944,2024-01-01 8:40:51,1,"0,2275000874",1,"0,8217370789","1,92200524"
1995,2024-01-01 8:41:54,0,"0,6090058606",1,"0,9852933402","3,177902187"
27503,2024-01-01 9:16:12,0,"0,4164785524",0,"0,09978500385","0,7172224119"
17097,2024-01-01 9:46:34,1,"0,1642847006",1,"0,9851001483","3,172742495"
54166,2024-01-01 9:49:41,1,"0,2672144456",0,"0,3673580562","1,661141213"
6501,2024-01-01 10:20:16,0,"0,6829409395",0,"0,1208652113","0,8293274492"
17663,2024-01-01 10:28:25,0,"0,7831772401",0,"0,4395714813","1,847944247"
53761,2024-01-01 11:17:54,0,"0,7386079196",1,"0,6888615033","1,492625831"
24289,2024-01-01 11:28:45,0,"0,5034082504",0,"0,1122637139","0,7854229022"
87529,2024-01-01 11:33:27,0,"0,4147846989",1,"0,5722115909","1,182007528"
21698,2024-01-01 11:35:33,0,"0,5821522687",0,"0,1062625465","0,753347911"
12529,2024-01-01 12:04:22,0,"0,9271918786",0,"0,3493327739","1,612877536"
73615,2024-01-01 12:05:28,0,"0,8185568169",0,"0,1338791543","0,8917602969"
19012,2024-01-01 12:19:53,1,"0,1456527939",1,"0,8577501687","2,070265849"
58547,2024-01-01 12:23:57,0,"0,6395687346",1,"0,9901824881","3,333250079"
18427,2024-01-01 12:39:56,0,"0,8549344293",0,"0,01660478764","-0,1295404074"
59627,2024-01-01 12:40:48,0,"0,6299351537",0,"0,03509656307","0,1893375962"
36835,2024-01-01 12:47:19,1,"0,01828830996",1,"0,9107874969","2,345620285"
51418,2024-01-01 13:15:14,0,"0,9759411529",0,"0,3771147081","1,686932548"
34671,2024-01-01 13:16:16,0,"0,6172949126",1,"0,9030153834","2,298926269"
83,2024-01-01 13:16:55,0,"0,9771932148",0,"0,4925090224","1,9812218"
97581,2024-01-01 13:20:06,0,"0,8028593348",0,"0,0597176907","0,4428521282"
20495,2024-01-01 13:21:33,0,"0,4945222515",1,"0,6155258375","1,29375081"
63707,2024-01-01 13:25:23,1,"0,2737730095",0,"0,4728208424","1,931819167"
81447,2024-01-01 13:40:51,1,"0,08118853729",1,"0,6685175054","1,435823229"
35486,2024-01-01 13:47:16,0,"0,623220859",0,"0,2310500874","1,264606986"
71962,2024-01-01 13:50:31,0,"0,4064059617",1,"0,6227151405","1,312619555"
49362,2024-01-01 14:03:16,1,"0,1851653073",0,"0,2679562198","1,38099405"
67810,2024-01-01 14:25:56,1,"0,07027350538",0,"0,2999641533","1,475496385"
88997,2024-01-01 14:41:13,0,"0,9500039869",0,"0,09441240756","0,6859364393"
17723,2024-01-01 14:51:57,0,"0,7511402027",1,"0,7559208378","1,693240996"
21203,2024-01-01 15:07:19,0,"0,8837169931",0,"0,3438162573","1,597930006"
89948,2024-01-01 15:12:55,0,"0,8719926572",0,"0,4917644776","1,97935514"
1010,2024-01-01 15:22:03,0,"0,4114668464",0,"0,02980925676","0,1163956557"
66756,2024-01-01 15:36:38,1,"0,2515268771",1,"0,9933600232","3,47617213"
64011,2024-01-01 15:39:18,0,"0,552981392",1,"0,6782465781","1,462801238"
26911,2024-01-01 15:51:33,0,"0,9761531271",0,"0,1160816712","0,8051952978"
73073,2024-01-01 16:00:25,0,"0,8138608008",1,"0,8647978378","2,10213192"
25586,2024-01-01 16:08:37,0,"0,5274203697",1,"0,9453744496","2,601568319"
28887,2024-01-01 16:15:53,1,"0,2381453078",1,"0,8124428424","1,886934222"
6659,2024-01-01 16:28:27,0,"0,8894893631",0,"0,2459067073","1,312572566"
10169,2024-01-01 16:29:10,1,"0,2601369293",0,"0,3028765216","1,48385486"
35366,2024-01-01 16:36:25,1,"0,3857178628",1,"0,9472995212","2,61921525"
21761,2024-01-01 16:37:09,1,"0,1077736656",0,"0,2842130159","1,429628907"
40529,2024-01-01 16:42:14,0,"0,6226505409",0,"0,2364779271","1,282322005"
64775,2024-01-01 16:52:04,0,"0,4091371353",1,"0,8442640113","2,012138206"
44634,2024-01-01 17:11:35,0,"0,5023680362",0,"0,3733690405","1,677056566"
72204,2024-01-01 17:30:09,0,"0,4443721232",0,"0,1220658198","0,835278244"
83157,2024-01-01 17:37:58,0,"0,4769975865",1,"0,9087944458","2,333367877"
57824,2024-01-01 17:56:11,0,"0,7269852815",1,"0,7863798295","1,793922858"
91632,2024-01-01 17:56:39,1,"0,3171072301",0,"0,3549143817","1,627913925"
67627,2024-01-01 17:59:29,0,"0,5538615944",1,"0,7828466684","1,781843312"
66159,2024-01-01 18:01:49,0,"0,731703931",1,"0,786547477","1,794498905"
87072,2024-01-01 18:14:52,1,"0,04821354451",1,"0,5837199989","1,211419422"
