user_id,session_start_dttm,test_high_contrast_bucket,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub
65376,2024-10-01 00:41:01,,0,,5,0,0
48608,2024-10-01 00:57:09,,0,,2,1,126
47775,2024-10-01 01:11:10,,0,,2,1,262
36616,2024-10-01 01:13:17,,0,,5,0,0
42241,2024-10-01 01:16:51,,1,,4,1,687
36191,2024-10-01 01:42:20,,1,,4,0,0
31912,2024-10-01 02:12:09,,0,,11,1,313
64253,2024-10-01 02:13:33,,1,,4,1,417
72345,2024-10-01 02:15:15,,1,,8,0,0
74963,2024-10-01 02:18:29,,0,,10,0,0
10395,2024-10-01 02:24:51,,0,,1,1,399
9557,2024-10-01 02:30:39,,0,,6,0,0
12115,2024-10-01 02:38:36,,1,,9,1,344
52632,2024-10-01 02:43:53,,1,,4,0,0
26989,2024-10-01 02:46:09,,0,,3,1,188
10079,2024-10-01 02:47:50,,0,,8,0,0
21019,2024-10-01 03:05:49,,1,,4,0,0
80859,2024-10-01 03:47:38,,0,,7,0,0
24422,2024-10-01 03:48:02,,0,,2,0,0
38971,2024-10-01 03:50:23,,0,,7,1,488
50177,2024-10-01 03:59:50,,0,,4,1,629
65362,2024-10-01 05:05:39,,1,,4,0,0
47165,2024-10-01 05:23:16,,1,,6,0,0
41926,2024-10-01 05:47:32,,0,,8,0,0
13913,2024-10-01 07:00:32,,0,,4,0,0
44709,2024-10-01 07:03:33,,1,,4,0,0
66262,2024-10-01 07:09:23,,1,,5,0,0
97240,2024-10-01 07:36:49,,0,,5,0,0
6167,2024-10-01 07:37:09,,1,,10,1,454
86271,2024-10-01 08:26:43,,0,,2,1,360
36959,2024-10-01 08:44:23,,0,,9,0,0
42423,2024-10-01 08:53:43,,0,,6,0,0
93928,2024-10-01 09:08:48,,0,,4,0,0
11427,2024-10-01 09:09:14,,0,,1,0,0
26165,2024-10-01 09:10:40,,1,,8,1,281
21924,2024-10-01 09:17:32,,1,,4,1,609
23304,2024-10-01 09:19:11,,0,,4,0,0
75781,2024-10-01 09:21:45,,1,,10,0,0
9056,2024-10-01 09:26:51,,0,,6,0,0
23806,2024-10-01 09:27:23,,0,,4,0,0
27984,2024-10-01 09:31:28,,0,,7,0,0
23339,2024-10-01 10:01:23,,0,,11,1,238
79748,2024-10-01 10:02:01,,1,,7,0,0
92790,2024-10-01 10:05:46,,0,,0,1,239
4990,2024-10-01 10:09:20,,0,,8,0,0
78375,2024-10-01 10:15:24,,1,,5,1,699
29124,2024-10-01 10:30:32,,0,,4,0,0
35505,2024-10-01 10:33:45,,0,,6,1,472
58723,2024-10-01 10:40:51,,0,,5,0,0
64305,2024-10-01 10:42:54,,0,,4,0,0
26458,2024-10-01 10:43:03,,1,,4,0,0
90298,2024-10-01 10:49:36,,0,,14,0,0
98080,2024-10-01 10:51:18,,1,,6,1,335
58723,2024-10-01 10:51:20,,0,,6,0,0
75677,2024-10-01 11:08:30,,0,,3,0,0
87530,2024-10-01 11:08:34,,1,,9,0,0
42912,2024-10-01 11:26:45,,0,,11,0,0
65907,2024-10-01 11:32:21,,1,,8,0,0
6061,2024-10-01 12:00:22,,1,,5,1,523
51901,2024-10-01 12:08:28,,0,,8,1,475
16979,2024-10-01 12:14:35,,0,,9,0,0
9557,2024-10-01 12:45:15,,0,,3,0,0
86070,2024-10-01 12:47:13,,0,,4,0,0
29124,2024-10-01 12:55:47,,0,,3,1,458
27038,2024-10-01 13:01:39,,0,,3,0,0
57972,2024-10-01 13:03:41,,0,,9,0,0
4394,2024-10-01 13:05:28,,0,,1,1,589
2806,2024-10-01 13:14:51,,0,,10,1,234
31636,2024-10-01 13:16:45,,0,,4,0,0
21131,2024-10-01 13:50:03,,1,,5,1,311
88110,2024-10-01 13:57:10,,0,,7,0,0
96009,2024-10-01 13:57:59,,0,,6,0,0
88295,2024-10-01 14:03:04,,1,,10,1,221
91167,2024-10-01 14:08:15,,0,,8,1,349
60975,2024-10-01 14:14:23,,0,,6,1,581
42142,2024-10-01 14:29:32,,0,,3,0,0
22423,2024-10-01 14:49:09,,1,,6,0,0
99105,2024-10-01 14:50:30,,0,,8,0,0
55107,2024-10-01 14:51:27,,0,,7,0,0
61971,2024-10-01 14:53:57,,0,,5,1,294
89437,2024-10-01 14:56:36,,0,,9,0,0
25617,2024-10-01 15:08:21,,0,,10,0,0
63079,2024-10-01 15:20:02,,0,,6,1,277
19073,2024-10-01 15:48:17,,0,,5,1,346
98213,2024-10-01 16:25:17,,1,,7,0,0
45618,2024-10-01 16:28:47,,0,,7,0,0
79093,2024-10-01 16:32:10,,1,,4,0,0
58723,2024-10-01 16:38:28,,0,,5,0,0
67063,2024-10-01 16:38:33,,0,,6,0,0
21285,2024-10-01 16:43:18,,0,,6,0,0
90813,2024-10-01 16:45:12,,0,,4,1,217
11776,2024-10-01 16:50:31,,0,,5,0,0
29815,2024-10-01 16:56:39,,0,,5,1,200
73031,2024-10-01 16:57:20,,0,,8,0,0
31430,2024-10-01 16:59:42,,0,,6,0,0
61817,2024-10-01 17:20:29,,0,,3,1,229
83406,2024-10-01 17:33:51,,0,,1,1,251
78381,2024-10-01 17:39:22,,0,,5,0,0
93959,2024-10-01 17:42:33,,0,,8,0,0
19562,2024-10-01 17:45:17,,0,,7,1,298
14345,2024-10-01 17:50:04,,0,,3,0,0
55539,2024-10-01 17:50:16,,0,,1,0,0
30632,2024-10-01 17:51:30,,0,,5,0,0
60921,2024-10-01 17:58:32,,1,,5,0,0
26105,2024-10-01 17:58:46,,0,,7,0,0
31182,2024-10-01 18:02:46,,1,,5,0,0
38671,2024-10-01 18:07:06,,1,,4,0,0
95218,2024-10-01 18:09:11,,0,,2,0,0
21811,2024-10-01 18:14:54,,0,,6,0,0
13285,2024-10-01 19:20:16,,1,,2,1,211
60242,2024-10-01 19:30:33,,0,,9,1,520
