user_id,session_start_dttm,test_high_contrast_bucket,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub
8310,2025-05-01 00:09:06,,1,,6,0,0
72330,2025-05-01 00:15:39,,0,,10,0,0
89112,2025-05-01 00:20:46,,0,,8,1,156
35721,2025-05-01 00:21:31,,0,,7,0,0
5661,2025-05-01 00:29:47,,0,,8,1,441
45240,2025-05-01 00:36:48,,0,,1,0,0
47812,2025-05-01 00:45:41,,0,,8,0,0
20395,2025-05-01 01:06:57,,0,,6,1,293
89736,2025-05-01 01:18:38,,0,,2,1,392
45679,2025-05-01 01:19:33,,1,,8,0,0
30032,2025-05-01 01:34:19,,0,,4,0,0
75851,2025-05-01 01:37:51,,0,,12,0,0
9838,2025-05-01 01:40:17,,0,,3,0,0
58380,2025-05-01 01:40:55,,1,,4,0,0
44094,2025-05-01 01:46:52,,1,,4,1,285
31855,2025-05-01 01:51:54,,0,,11,1,262
23911,2025-05-01 02:16:26,,0,,4,1,531
45374,2025-05-01 02:16:54,,0,,7,0,0
20850,2025-05-01 02:17:01,,0,,3,0,0
31655,2025-05-01 02:21:36,,0,,6,1,320
40529,2025-05-01 02:54:09,,0,,7,0,0
76430,2025-05-01 03:19:17,,0,,2,0,0
97682,2025-05-01 03:28:35,,0,,6,0,0
64121,2025-05-01 03:30:55,,0,,13,0,0
31734,2025-05-01 03:44:31,,0,,5,1,282
64305,2025-05-01 04:00:56,,0,,7,0,0
23332,2025-05-01 04:17:05,,0,,7,0,0
32636,2025-05-01 05:07:54,,0,,5,0,0
51229,2025-05-01 05:12:54,,0,,12,0,0
85128,2025-05-01 05:18:56,,0,,4,1,440
50009,2025-05-01 05:29:17,,1,,10,0,0
51830,2025-05-01 05:34:57,,0,,3,0,0
1313,2025-05-01 05:38:14,,1,,4,0,0
84101,2025-05-01 05:42:44,,0,,6,0,0
13087,2025-05-01 06:00:11,,1,,9,0,0
68778,2025-05-01 06:15:43,,0,,12,0,0
1235,2025-05-01 06:23:12,,0,,5,0,0
