user_id,session_start_dttm,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub
98049,2024-01-01 00:00:44,0,2.7486848568927744,7,0,0
15055,2024-01-01 01:19:05,0,2.050191947945195,1,0,0
55194,2024-01-01 02:20:17,0,1.5310572982329438,3,0,0
46050,2024-01-01 02:21:13,0,0.431801989278434,6,0,0
31834,2024-01-01 02:22:38,0,1.0930263404294829,7,1,86
15628,2024-01-01 02:42:43,0,2.221484311592389,3,1,97
59006,2024-01-01 03:27:43,0,6.628894906532323,4,1,142
76257,2024-01-01 03:35:31,0,-2.1626215630219856,10,0,0
82582,2024-01-01 04:17:11,0,3.162749587874293,4,0,0
65807,2024-01-01 04:17:41,0,2.9571857273299287,4,0,0
58033,2024-01-01 06:07:56,0,2.442450745599584,4,1,324
31790,2024-01-01 07:18:19,0,1.2036412262065972,5,0,0
733,2024-01-01 07:35:05,0,3.8069407695350086,6,0,0
41919,2024-01-01 07:53:02,0,-1.558507944350533,9,0,0
10184,2024-01-01 08:00:52,0,-1.7623278629815475,6,1,149
20544,2024-01-01 08:04:02,0,1.9829051798791808,6,1,423
25511,2024-01-01 09:06:08,0,2.8728008340292943,4,0,0
77444,2024-01-01 09:18:02,0,-0.3027485801351044,2,1,219
78837,2024-01-01 09:52:49,1,1.1871699672307687,11,1,168
16396,2024-01-01 09:56:20,0,0.5444689088373142,13,0,0
10578,2024-01-01 10:14:14,0,0.1573254507086013,4,0,0
20894,2024-01-01 10:21:58,0,-0.0765981906332988,9,0,0
97246,2024-01-01 10:34:10,1,2.8616420060157655,5,1,302
99645,2024-01-01 11:04:08,0,-2.7919703982921287,3,0,0
43401,2024-01-01 11:07:28,0,1.2732045660254014,11,0,0
99770,2024-01-01 11:13:52,0,0.9244899311029388,6,1,297
16983,2024-01-01 11:15:02,0,0.3421602593332457,6,0,0
20959,2024-01-01 11:30:41,1,1.3675148153128356,7,0,0
79457,2024-01-01 11:35:14,1,3.756900602614545,9,0,0
36656,2024-01-01 11:37:12,0,2.5444229547050097,9,0,0
55967,2024-01-01 11:46:43,1,2.825465223191977,6,0,0
16891,2024-01-01 11:48:34,0,1.472648564056401,6,1,90
38913,2024-01-01 12:34:33,0,-0.956881760082869,1,0,0
36117,2024-01-01 12:54:16,1,1.9001481780274945,10,0,0
53455,2024-01-01 13:02:09,0,4.754272950663285,5,0,0
94346,2024-01-01 13:05:02,0,-2.210111958007847,8,0,0
9612,2024-01-01 13:21:13,1,3.758795949725658,7,1,887
7568,2024-01-01 13:33:52,0,3.620079385733901,4,0,0
83705,2024-01-01 13:39:38,1,1.1433443556737857,10,1,259
