user_id,session_start,satisfaction_test_bucket,satisfaction_metric,device,purchase_amount_rub
88874,2024-04-01 00:02:52,,,desktop,550
83319,2024-04-01 00:05:23,,,desktop,0
86931,2024-04-01 00:28:23,,,android,186
61856,2024-04-01 00:58:26,,,desktop,0
51784,2024-04-01 01:29:16,,,desktop,0
44122,2024-04-01 01:41:35,,,desktop,244
43650,2024-04-01 01:41:38,,,desktop,0
57631,2024-04-01 01:53:28,,,ios,0
02697,2024-04-01 02:08:08,,,android,611
86935,2024-04-01 02:15:29,,,desktop,283
24890,2024-04-01 02:31:30,,,android,0
25687,2024-04-01 02:36:20,,,desktop,0
25194,2024-04-01 02:36:53,,,desktop,509
60310,2024-04-01 02:36:58,,,android,0
76031,2024-04-01 02:44:18,,,desktop,257
15949,2024-04-01 02:57:30,,,ios,421
20181,2024-04-01 03:11:14,,,ios,0
66614,2024-04-01 03:35:47,,,desktop,975
30472,2024-04-01 03:36:54,,,android,0
18114,2024-04-01 03:48:12,,,desktop,2685
48264,2024-04-01 03:59:44,,,android,0
33755,2024-04-01 04:03:14,,,desktop,168
57889,2024-04-01 04:13:46,,,ios,0
47217,2024-04-01 04:31:31,,,desktop,766
47399,2024-04-01 04:31:31,,,android,0
81371,2024-04-01 05:25:58,,,ios,0
08705,2024-04-01 05:40:13,,,ios,0
88478,2024-04-01 05:48:25,,,desktop,366
17638,2024-04-01 05:53:54,,,ios,0
15823,2024-04-01 06:19:29,,,ios,0
41139,2024-04-01 06:35:53,,,android,0
73570,2024-04-01 06:40:44,,,android,809
25792,2024-04-01 06:42:22,,,ios,0
56347,2024-04-01 06:54:53,,,desktop,0
69591,2024-04-01 07:16:31,,,desktop,0
79126,2024-04-01 07:23:00,,,ios,0
28566,2024-04-01 07:24:37,,,android,0
08462,2024-04-01 07:34:16,,,desktop,151
57631,2024-04-01 07:41:38,,,desktop,0
60275,2024-04-01 07:48:23,,,desktop,0
38747,2024-04-01 07:50:41,,,android,0
89882,2024-04-01 07:50:46,,,ios,555
61303,2024-04-01 07:51:12,,,desktop,0
11798,2024-04-01 08:07:56,,,desktop,0
33203,2024-04-01 08:10:37,,,desktop,0
80967,2024-04-01 08:18:23,,,desktop,0
21981,2024-04-01 08:21:22,,,android,0
15519,2024-04-01 08:21:24,,,desktop,0
69757,2024-04-01 08:22:28,,,android,0
17477,2024-04-01 08:24:18,,,ios,1329
11096,2024-04-01 08:24:53,,,desktop,0
66160,2024-04-01 08:37:29,,,android,0
72764,2024-04-01 08:41:56,,,desktop,0
99274,2024-04-01 08:44:12,,,desktop,0
18676,2024-04-01 08:50:42,,,ios,0
18773,2024-04-01 08:57:42,,,desktop,228
79201,2024-04-01 09:06:40,,,desktop,496
23077,2024-04-01 09:17:57,,,desktop,434
22051,2024-04-01 09:18:33,,,android,0
30264,2024-04-01 09:20:59,,,ios,0
97033,2024-04-01 09:21:42,,,ios,0
91837,2024-04-01 09:28:38,,,ios,0
64324,2024-04-01 09:38:47,,,android,328
06117,2024-04-01 09:40:23,,,desktop,469
68763,2024-04-01 09:43:50,,,desktop,0
36759,2024-04-01 09:46:44,,,ios,273
01607,2024-04-01 09:49:35,,,desktop,0
85824,2024-04-01 09:49:41,,,android,0
44507,2024-04-01 09:56:52,,,desktop,0
00321,2024-04-01 09:57:13,,,desktop,146
19603,2024-04-01 09:57:19,,,ios,746
92628,2024-04-01 09:59:59,,,desktop,0
84532,2024-04-01 10:00:25,,,desktop,0
26463,2024-04-01 10:01:51,,,android,0
11096,2024-04-01 10:07:35,,,desktop,0
90647,2024-04-01 10:07:43,,,android,125
05309,2024-04-01 10:35:05,,,ios,0
30697,2024-04-01 10:43:35,,,android,0
59704,2024-04-01 10:45:24,,,desktop,0
81665,2024-04-01 11:06:30,,,desktop,0
33150,2024-04-01 11:13:40,,,android,0
43243,2024-04-01 11:21:23,,,ios,0
24517,2024-04-01 11:26:53,,,ios,0
79190,2024-04-01 11:27:07,,,desktop,0
86668,2024-04-01 11:32:12,,,ios,669
81596,2024-04-01 11:32:24,,,desktop,546
42605,2024-04-01 11:45:03,,,desktop,1007
37247,2024-04-01 11:49:48,,,desktop,832
60020,2024-04-01 11:55:13,,,ios,0
04891,2024-04-01 12:04:33,,,android,0
